index,connection,timestamps,sizes,directions,file_name
41,"('35.186.224.24', 443, '10.184.62.19', 61297, 'TCP')","1727357863.139458,1727357863.146224,1727357863.146224,1727357863.146224,1727357863.146224,1727357863.149756,1727357863.149756,1727357863.149756,1727357863.149756,1727357863.149756,1727357863.149756,1727357863.149756,1727357863.155037,1727357863.155037,1727357863.155037,1727357863.160277,1727357863.203983,1727357863.274046,1727357863.274046,1727357863.274046,1727357863.279780,1727357863.313943,1727357863.313943,1727357863.323614,1727357863.324516,1727357863.324516,1727357863.334603,1727357863.484495,1727357863.484495,1727357863.484495,1727357863.484495,1727357863.490143,1727357877.269499","[66, 54, 54, 54, 54, 590, 590, 590, 494, 590, 590, 391, 590, 136, 85, 54, 54, 270, 256, 93, 54, 54, 54, 125, 278, 93, 54, 138, 590, 292, 93, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",streaming_spotify.pcap
42,"('10.10.1.5', 53, '10.184.62.19', 55130, 'UDP')",1727357863.140994,[132],[1],streaming_spotify.pcap
43,"('10.184.62.19', 60891, '10.10.1.4', 53, 'UDP')",1727357863.141552,[83],[0],streaming_spotify.pcap
44,"('10.10.1.5', 53, '10.184.62.19', 60891, 'UDP')",1727357863.143460,[144],[1],streaming_spotify.pcap
45,"('10.184.62.19', 61298, '35.186.224.24', 443, 'TCP')","1727357863.150330,1727357863.155118,1727357863.158462,1727357863.167163,1727357863.176705,1727357863.186031,1727357863.321606,1727357863.322493,1727357863.363271,1727357863.491037,1727357863.492907,1727357863.532759,1727357863.653226,1727357863.653828,1727357863.691972,1727357863.823319,1727357863.865192,1727357863.992671,1727357863.994194,1727357864.034157,1727357924.000446,1727357924.005795","[66, 54, 339, 54, 134, 259, 54, 54, 259, 54, 54, 259, 54, 54, 259, 54, 259, 54, 54, 54, 54, 54]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",streaming_spotify.pcap
46,"('10.10.1.5', 53, '10.184.62.19', 55537, 'UDP')",1727357863.154275,[170],[1],streaming_spotify.pcap
47,"('35.186.224.24', 443, '10.184.62.19', 61298, 'TCP')","1727357863.155037,1727357863.163200,1727357863.167114,1727357863.167114,1727357863.167114,1727357863.167114,1727357863.167114,1727357863.167114,1727357863.167114,1727357863.187665,1727357863.190817,1727357863.321575,1727357863.321575,1727357863.321575,1727357863.322480,1727357863.322480,1727357863.322480,1727357863.368253,1727357863.491011,1727357863.491011,1727357863.492875,1727357863.492875,1727357863.492875,1727357863.539310,1727357863.653183,1727357863.653183,1727357863.653183,1727357863.653799,1727357863.653799,1727357863.696502,1727357863.823281,1727357863.823281,1727357863.823281,1727357863.823281,1727357863.823281,1727357863.870305,1727357863.992633,1727357863.992633,1727357863.994166,1727357863.994166,1727357863.994686,1727357924.005754","[66, 54, 590, 590, 590, 494, 590, 590, 405, 54, 54, 590, 590, 548, 590, 590, 181, 54, 590, 506, 590, 590, 181, 54, 590, 506, 590, 590, 172, 54, 590, 506, 590, 590, 194, 54, 590, 506, 590, 590, 181, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",streaming_spotify.pcap
48,"('10.184.62.19', 56456, '10.10.1.5', 53, 'UDP')",1727357863.159392,[80],[0],streaming_spotify.pcap
49,"('10.184.62.19', 64572, '10.10.1.5', 53, 'UDP')",1727357863.159484,[80],[0],streaming_spotify.pcap
50,"('10.184.62.19', 61415, '10.10.1.5', 53, 'UDP')",1727357863.160868,[75],[0],streaming_spotify.pcap
51,"('10.184.62.19', 51620, '10.10.1.5', 53, 'UDP')",1727357863.160954,[75],[0],streaming_spotify.pcap
52,"('10.184.62.19', 56303, '10.10.1.5', 53, 'UDP')",1727357863.161290,[81],[0],streaming_spotify.pcap
53,"('10.184.62.19', 54886, '10.10.1.5', 53, 'UDP')",1727357863.161360,[81],[0],streaming_spotify.pcap
54,"('10.184.62.19', 54819, '10.10.1.5', 53, 'UDP')",1727357863.161441,[83],[0],streaming_spotify.pcap
55,"('10.184.62.19', 58607, '10.10.1.5', 53, 'UDP')",1727357863.161495,[83],[0],streaming_spotify.pcap
56,"('10.10.1.4', 53, '10.184.62.19', 60891, 'UDP')",1727357863.172215,[144],[1],streaming_spotify.pcap
57,"('10.10.1.5', 53, '10.184.62.19', 64572, 'UDP')",1727357863.187665,[80],[1],streaming_spotify.pcap
58,"('10.10.1.5', 53, '10.184.62.19', 56456, 'UDP')",1727357863.189785,[170],[1],streaming_spotify.pcap
59,"('10.10.1.5', 53, '10.184.62.19', 58607, 'UDP')",1727357863.190468,[83],[1],streaming_spotify.pcap
60,"('10.184.62.19', 56437, '10.10.1.5', 53, 'UDP')",1727357863.190539,[80],[0],streaming_spotify.pcap
61,"('10.184.62.19', 61913, '10.10.1.5', 53, 'UDP')",1727357863.190680,[80],[0],streaming_spotify.pcap
62,"('10.10.1.5', 53, '10.184.62.19', 54819, 'UDP')",1727357863.190817,[158],[1],streaming_spotify.pcap
