index,connection,timestamps,sizes,directions,file_name
23,"('216.58.200.195', 443, '10.184.62.19', 60384, 'TCP')","1727356522.414313,1727356522.419039,1727356522.419039,1727356522.419039,1727356522.419039,1727356522.482773,1727356522.482773,1727356522.482773,1727356522.482773,1727356522.482773,1727356522.482773,1727356522.482773,1727356522.482773,1727356522.482976,1727356522.482976,1727356522.487208,1727356522.493283,1727356522.493283,1727356522.493283,1727356522.494579,1727356522.494579,1727356522.502536,1727356522.727911,1727356522.727911,1727356522.727911,1727356522.733929,1727356522.733929,1727356522.733929,1727356522.734727,1727356522.987521,1727356522.987521,1727356522.992882,1727356567.997569,1727356613.002537,1727356654.391205","[66, 54, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 87, 54, 590, 482, 54, 85, 54, 291, 85, 93, 54, 54, 54, 54, 590, 338, 54, 66, 66, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",streaming_youtube.pcap
24,"('10.184.62.19', 60386, '13.107.5.93', 443, 'TCP')","1727356550.422383,1727356551.425325,1727356553.431929,1727356557.438322","[66, 66, 66, 66]","[1, 1, 1, 1]",streaming_youtube.pcap
25,"('10.184.62.19', 60387, '13.107.5.93', 443, 'TCP')","1727356550.738576,1727356551.744459,1727356553.751256,1727356557.761282","[66, 66, 66, 66]","[1, 1, 1, 1]",streaming_youtube.pcap
26,"('10.184.62.19', 60388, '142.250.77.194', 443, 'TCP')","1727356557.520528,1727356557.527426,1727356557.527761,1727356557.527761,1727356557.527761,1727356557.527761,1727356557.527761,1727356557.613751,1727356557.614045,1727356557.614130,1727356557.614234,1727356557.614234,1727356557.614234,1727356557.614234,1727356557.614234,1727356557.614234,1727356557.619284,1727356557.619465,1727356557.662370,1727356557.746644,1727356557.747022,1727356558.020032,1727356558.020032,1727356558.020032,1727356558.020032,1727356558.020032,1727356558.020032,1727356558.147187,1727356558.147387,1727356603.152431,1727356611.631996,1727356611.631996,1727356611.631996,1727356611.631996,1727356611.631996,1727356611.632061,1727356611.680475,1727356611.712488,1727356611.714552,1727356611.714805,1727356631.549694,1727356631.549694,1727356631.549694,1727356631.549750,1727356631.594844,1727356631.629174,1727356631.629465,1727356654.385322,1727356654.389857","[66, 54, 590, 590, 590, 590, 204, 54, 128, 146, 590, 590, 590, 590, 590, 96, 54, 85, 54, 54, 93, 590, 590, 590, 590, 590, 238, 54, 93, 55, 590, 590, 590, 590, 309, 93, 54, 54, 54, 93, 590, 590, 577, 93, 54, 54, 93, 54, 54]","[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]",streaming_youtube.pcap
27,"('142.250.77.194', 443, '10.184.62.19', 60388, 'TCP')","1727356557.527375,1727356557.532400,1727356557.532400,1727356557.532400,1727356557.532400,1727356557.532400,1727356557.613700,1727356557.613700,1727356557.613700,1727356557.619236,1727356557.619236,1727356557.619236,1727356557.619236,1727356557.619236,1727356557.619236,1727356557.619236,1727356557.619236,1727356557.619324,1727356557.620531,1727356557.628593,1727356557.746576,1727356557.746576,1727356557.746576,1727356557.746576,1727356557.751899,1727356558.024879,1727356558.024879,1727356558.024879,1727356558.024879,1727356558.024879,1727356558.024879,1727356558.147151,1727356558.147151,1727356558.147151,1727356558.147151,1727356558.147151,1727356558.152276,1727356603.158072,1727356611.637408,1727356611.637408,1727356611.637408,1727356611.637408,1727356611.637473,1727356611.637473,1727356611.638300,1727356611.712443,1727356611.712443,1727356611.714523,1727356611.714523,1727356611.724874,1727356631.554510,1727356631.554510,1727356631.554510,1727356631.554970,1727356631.629123,1727356631.629123,1727356631.629123,1727356631.639051,1727356654.389765","[66, 54, 54, 54, 54, 54, 590, 590, 455, 54, 54, 54, 54, 54, 54, 590, 496, 54, 85, 54, 590, 551, 85, 93, 54, 54, 54, 54, 54, 54, 54, 590, 590, 120, 85, 93, 54, 66, 54, 54, 54, 54, 54, 54, 93, 590, 286, 85, 93, 54, 54, 54, 54, 93, 221, 85, 93, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",streaming_youtube.pcap
28,"('10.184.62.19', 60390, '142.250.207.194', 443, 'TCP')","1727356558.191577,1727356558.196849,1727356558.197255,1727356558.197255,1727356558.197255,1727356558.197255,1727356558.284272,1727356558.288935,1727356558.289041,1727356558.289106,1727356558.289119,1727356558.295843,1727356558.295962,1727356558.340587,1727356558.368609,1727356558.368840,1727356603.381760,1727356648.390152,1727356654.385737,1727356654.391319","[66, 54, 590, 590, 590, 276, 54, 128, 146, 431, 287, 54, 85, 54, 54, 93, 55, 55, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",streaming_youtube.pcap
29,"('142.250.207.194', 443, '10.184.62.19', 60390, 'TCP')","1727356558.196763,1727356558.201675,1727356558.201675,1727356558.201675,1727356558.202458,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.284225,1727356558.288660,1727356558.294059,1727356558.294059,1727356558.294059,1727356558.294059,1727356558.295807,1727356558.295807,1727356558.297004,1727356558.305228,1727356558.365936,1727356558.368575,1727356558.368575,1727356558.373591,1727356603.387521,1727356648.396774,1727356654.391205","[66, 54, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 73, 54, 54, 54, 54, 590, 496, 85, 54, 369, 85, 93, 54, 66, 66, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",streaming_youtube.pcap
30,"('10.184.62.19', 60392, '104.208.16.95', 443, 'TCP')","1727356562.094204,1727356562.336331,1727356562.337769,1727356562.603547,1727356562.627568,1727356562.924341,1727356562.924420,1727356562.924420,1727356562.924508,1727356562.924508,1727356562.924508,1727356562.953355,1727356563.246113,1727356564.780413,1727356564.780733,1727356564.780733,1727356564.780733,1727356564.780733,1727356564.780733,1727356566.095482,1727356566.095993,1727356566.095993,1727356566.095993,1727356566.095993,1727356566.095993,1727356566.604331,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.604697,1727356566.986913,1727356567.230918","[66, 54, 266, 54, 212, 141, 590, 585, 590, 590, 399, 92, 54, 526, 590, 590, 590, 590, 145, 526, 590, 590, 590, 590, 379, 526, 590, 590, 590, 590, 590, 590, 590, 590, 429, 54, 54]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",streaming_youtube.pcap
31,"('104.208.16.95', 443, '10.184.62.19', 60392, 'TCP')","1727356562.336259,1727356562.603486,1727356562.603486,1727356562.603486,1727356562.603486,1727356562.603486,1727356562.603486,1727356562.603486,1727356562.603486,1727356562.913623,1727356562.953039,1727356563.164527,1727356563.164527,1727356563.164527,1727356563.164527,1727356563.193119,1727356564.766593,1727356565.019581,1727356565.019581,1727356566.081737,1727356566.338167,1727356566.338167,1727356566.597691,1727356566.844117,1727356566.975252,1727356567.230869,1727356567.230869","[66, 590, 590, 590, 590, 590, 590, 590, 537, 105, 123, 54, 54, 54, 54, 92, 339, 54, 54, 160, 54, 54, 164, 54, 161, 96, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]",streaming_youtube.pcap
32,"('10.184.62.19', 60393, '13.78.111.198', 443, 'TCP')","1727356562.438941,1727356562.575991,1727356562.576618,1727356562.716319,1727356562.856605,1727356562.862384,1727356562.862384,1727356562.862384,1727356562.862384,1727356562.862384,1727356562.862384,1727356563.004986,1727356564.014467,1727356565.166316,1727356566.316534,1727356567.471924,1727356568.007254,1727356568.151423","[66, 54, 571, 491, 54, 590, 590, 590, 590, 590, 421, 54, 55, 55, 55, 55, 54, 54]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",streaming_youtube.pcap
33,"('13.78.111.198', 443, '10.184.62.19', 60393, 'TCP')","1727356562.575933,1727356562.715007,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.856509,1727356562.998920,1727356562.998920,1727356562.999652,1727356563.003521,1727356563.004966,1727356564.155731,1727356565.303371,1727356566.454441,1727356567.612044,1727356568.151376","[66, 153, 590, 590, 590, 590, 590, 590, 590, 590, 253, 54, 54, 54, 157, 500, 66, 66, 66, 66, 54]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",streaming_youtube.pcap
34,"('10.184.62.19', 60423, '142.250.193.194', 443, 'TCP')","1727356611.778034,1727356611.783137,1727356611.783388,1727356611.783388,1727356611.783388,1727356611.783388,1727356611.855368,1727356611.855445,1727356611.860190,1727356611.860295,1727356611.860371,1727356611.860386,1727356611.865979,1727356611.866132,1727356611.936011,1727356611.936295,1727356654.385768,1727356654.390102","[66, 54, 590, 590, 590, 276, 54, 54, 128, 146, 432, 381, 54, 85, 54, 93, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1]",streaming_youtube.pcap
35,"('142.250.193.194', 443, '10.184.62.19', 60423, 'TCP')","1727356611.783070,1727356611.788408,1727356611.788408,1727356611.788408,1727356611.788408,1727356611.855317,1727356611.855317,1727356611.855317,1727356611.855317,1727356611.855317,1727356611.855317,1727356611.855421,1727356611.855421,1727356611.855421,1727356611.855421,1727356611.859875,1727356611.864644,1727356611.864644,1727356611.864644,1727356611.864644,1727356611.865946,1727356611.865946,1727356611.865946,1727356611.874991,1727356611.934143,1727356611.935976,1727356611.935976,1727356611.942255,1727356654.390055","[66, 54, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 72, 54, 54, 54, 54, 590, 496, 85, 54, 369, 85, 93, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]",streaming_youtube.pcap
